BSSID,Level,Room,Model,Time
4c:fa:ca:1f:41:40,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:9c:61,-110,420,Redmi 4X,2017/8/15 12:26
88:25:93:61:65:78,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:45:20,-86,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:4b:eb:c0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:38:c1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:a1:e1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:46:20,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:39:e0,-110,420,Redmi 4X,2017/8/15 12:26
00:34:cb:48:94:aa,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:90:60,-62,420,Redmi 4X,2017/8/15 12:26
a8:58:40:59:b5:01,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:90:20,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:42:21,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:1f:81,-110,420,Redmi 4X,2017/8/15 12:26
0e:18:d6:95:93:1e,-82,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:76:41,-110,420,Redmi 4X,2017/8/15 12:26
8c:f2:28:27:62:84,-82,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:a2:e1,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:49:fb:a1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:73:00,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:20:a1,-110,420,Redmi 4X,2017/8/15 12:26
8c:ab:8e:13:aa:3c,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8b:21,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:92:a0,-49,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:20:80,-86,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:89:80,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:99:c1,-110,420,Redmi 4X,2017/8/15 12:26
90:72:40:16:ca:00,-79,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:71:81,-83,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:45:60,-110,420,Redmi 4X,2017/8/15 12:26
6e:72:e7:3f:05:1e,-110,420,Redmi 4X,2017/8/15 12:26
a4:56:02:f0:35:c3,-110,420,Redmi 4X,2017/8/15 12:26
c2:9f:db:e9:97:7b,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:91:c1,-69,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:20:a0,-110,420,Redmi 4X,2017/8/15 12:26
0a:18:d6:95:93:1e,-110,420,Redmi 4X,2017/8/15 12:26
d2:75:d5:80:84:cd,-110,420,Redmi 4X,2017/8/15 12:26
bc:46:99:61:5b:78,-74,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:79:60,-79,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:49:fb:a0,-110,420,Redmi 4X,2017/8/15 12:26
a8:58:40:59:a8:40,-110,420,Redmi 4X,2017/8/15 12:26
00:71:cc:2b:d0:7f,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:9e:61,-85,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:74:20,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:21:80,-110,420,Redmi 4X,2017/8/15 12:26
c8:3a:35:49:60:44,-110,420,Redmi 4X,2017/8/15 12:26
80:89:17:e8:e7:f8,-79,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8b:20,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:9e:60,-83,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:91:20,-65,420,Redmi 4X,2017/8/15 12:26
b0:75:d5:80:5c:8c,-83,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8f:e1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:90:a0,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:1f:80,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:43:01,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:30:c0,-110,420,Redmi 4X,2017/8/15 12:26
a4:56:02:f0:35:c1,-110,420,Redmi 4X,2017/8/15 12:26
b0:75:d5:5f:d4:3b,-79,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:71:e1,-76,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:99:00,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:7e:60,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8b:01,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:9e:e0,-69,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:91:e1,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:4b:eb:c1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:31:20,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:91:60,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:91:61,-110,420,Redmi 4X,2017/8/15 12:26
12:18:d6:95:93:1e,-81,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:95:a0,-82,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:72:a0,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:20:81,-87,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:73:20,-110,420,Redmi 4X,2017/8/15 12:26
78:eb:14:e7:2a:82,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:92:a1,-49,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:7e:e1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:92:41,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:3f:c1,-110,420,Redmi 4X,2017/8/15 12:26
b0:75:d5:5f:c5:2f,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:92:81,-65,420,Redmi 4X,2017/8/15 12:26
b0:75:d5:5f:c5:37,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:9c:a0,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:21:a1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:31:21,-110,420,Redmi 4X,2017/8/15 12:26
ec:17:2f:4a:cf:fc,-82,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:37:a0,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:1f:c0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:9f:20,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:a1:e0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:75:c1,-110,420,Redmi 4X,2017/8/15 12:26
d4:ee:07:01:9d:4e,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:1f:e1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:39:e1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:71:80,-82,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:45:61,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:30:80,-110,420,Redmi 4X,2017/8/15 12:26
e2:75:d5:80:84:cd,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8d:21,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8b:a0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:45:c1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:46:21,-80,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:92:80,-64,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:49:fc:c0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:9c:21,-110,420,Redmi 4X,2017/8/15 12:26
3c:46:d8:58:64:c9,-110,420,Redmi 4X,2017/8/15 12:26
b0:75:d5:5f:d4:38,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:98:c0,-84,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:1f:c1,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:49:fd:41,-110,420,Redmi 4X,2017/8/15 12:26
a8:58:40:59:a8:41,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8b:00,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:37:a1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:30:c1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:95:a1,-72,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8f:e0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8a:61,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:7e:e0,-110,420,Redmi 4X,2017/8/15 12:26
c2:75:d5:80:84:cd,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:a2:e0,-110,420,Redmi 4X,2017/8/15 12:26
a8:15:4d:f5:f1:26,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8b:a1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:9d:a1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8a:60,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:34:00,-110,420,Redmi 4X,2017/8/15 12:26
28:2c:b2:fd:07:b9,-110,420,Redmi 4X,2017/8/15 12:26
ec:26:ca:d6:62:39,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:30:81,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:21:61,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8a:40,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:35:01,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:84:a0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:45:21,-86,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:75:c0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8d:20,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:91:e0,-110,420,Redmi 4X,2017/8/15 12:26
00:1e:a8:08:bc:a3,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:1f:e0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:93:a1,-110,420,Redmi 4X,2017/8/15 12:26
a8:58:40:59:ac:81,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:36:81,-110,420,Redmi 4X,2017/8/15 12:26
52:a5:89:79:19:ab,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:21:81,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:92:40,-110,420,Redmi 4X,2017/8/15 12:26
b0:75:d5:5f:d4:57,-58,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:93:80,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:89:81,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:93:a0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:73:01,-110,420,Redmi 4X,2017/8/15 12:26
