ID,BUILDING,FLOOR,LOC_X,LOC_Y,MAG_X,MAG_Y,MAG_Z,G
1,IBSS,5,0,0,0,25.828617,-28.685183,9.806577
2,IBSS,5,1,0,0,30.582264,-26.536137,9.80663
3,IBSS,5,2,0,-0.000001,27.197075,-23.733107,9.806599
4,IBSS,5,3,0,-0.000001,29.218052,-22.29553,9.806585
5,IBSS,5,4,0,0,24.842531,-22.799934,9.806636
6,IBSS,5,5,0,0,28.575375,-20.265488,9.806549
7,IBSS,5,6,0,-0.000001,31.676973,-25.566601,9.806592
8,IBSS,5,7,0,0,33.136116,-28.817413,9.80656
9,IBSS,5,8,0,-0.000001,31.638348,-29.528578,9.806632
10,IBSS,5,9,0,0,31.452923,-30.999039,9.806559
11,IBSS,5,10,0,0,29.899551,-31.762743,9.806552
12,IBSS,5,11,0,0,28.95252,-31.688454,9.806611
13,IBSS,5,12,0,0,26.558552,-27.970877,9.806623
14,IBSS,5,13,0,0,27.55983,-29.392389,9.806615
15,IBSS,5,14,0,0,25.084644,-29.663261,9.806615
16,IBSS,5,15,0,0,25.486389,-28.333096,9.806556
17,IBSS,5,16,0,-0.000001,31.683157,-31.746216,9.80659
18,IBSS,5,17,0,0,31.728256,-30.79236,9.806594
19,IBSS,5,18,0,0,35.823601,-27.998213,9.806606
20,IBSS,5,19,0,0,35.67548,-29.499517,9.806569
21,IBSS,5,20,0,-0.000001,36.218399,-22.355122,9.806568
22,IBSS,5,21,0,0,39.094856,-25.108644,9.80658
23,IBSS,5,22,0,0,38.263607,-26.381336,9.8066
24,IBSS,5,23,0,-0.000001,37.187706,-27.055353,9.806592
25,IBSS,5,24,0,0,36.71767,-25.518764,9.80657
26,IBSS,5,25,0,-0.000001,34.839104,-27.27017,9.806557
27,IBSS,5,26,0,0,34.571606,-26.850851,9.806615
28,IBSS,5,27,0,-0.000001,32.630138,-26.246071,9.806582
29,IBSS,5,28,0,-0.000002,33.839809,-25.784641,9.80664
30,IBSS,5,29,0,0,31.771179,-26.737705,9.806648
31,IBSS,5,30,0,0,32.206108,-25.159044,9.806604
32,IBSS,5,31,0,0.000001,32.310421,-24.285849,9.806559
33,IBSS,5,32,0,0,36.969707,-24.038925,9.806554
34,IBSS,5,33,0,0,33.420116,-25.87368,9.806596
35,IBSS,5,34,0,0,32.244804,-28.220028,9.806571
36,IBSS,5,35,0,0,30.698557,-26.096748,9.806606
37,IBSS,5,36,0,0,32.875427,-23.19001,9.806642
38,IBSS,5,37,0,0,34.692665,-22.369003,9.806588
39,IBSS,5,38,0,0,35.927513,-22.549582,9.806617
40,IBSS,5,39,0,0,38.410297,-22.916216,9.806623
41,IBSS,5,40,0,0,37.038502,-24.665281,9.806629
42,IBSS,5,41,0,-0.000001,33.872208,-26.751341,9.806584
43,IBSS,5,42,0,0,30.050575,-28.265034,9.806602
44,IBSS,5,43,0,0,33.001839,-26.402973,9.806586
45,IBSS,5,44,0,0,36.323528,-28.839464,9.806624
46,IBSS,5,45,0,0,34.536999,-33.057247,9.806595
47,IBSS,5,46,0,-0.000001,34.160286,-35.75613,9.806611
48,IBSS,5,47,0,0,33.802811,-38.788776,9.806645
49,IBSS,5,48,0,0,27.571014,-40.213486,9.806563
50,IBSS,5,49,0,0,24.459059,-38.277321,9.806571
51,IBSS,5,50,0,0,23.622116,-36.042934,9.806639
52,IBSS,5,0,1,0,24.219872,-33.254749,9.806585
53,IBSS,5,1,1,0,25.49568,-31.596292,9.806618
54,IBSS,5,2,1,0,23.190363,-31.898642,9.806566
55,IBSS,5,3,1,0,23.465971,-28.313753,9.806579
56,IBSS,5,4,1,0,22.755148,-25.359833,9.80658
57,IBSS,5,5,1,0,26.025284,-24.927414,9.806605
58,IBSS,5,6,1,0,28.18396,-27.579651,9.806574
59,IBSS,5,7,1,0,29.251375,-31.603951,9.806637
60,IBSS,5,8,1,0,27.973112,-33.972206,9.806577
61,IBSS,5,9,1,0,25.346596,-36.435242,9.806593
62,IBSS,5,10,1,0,24.629995,-32.368607,9.806579
63,IBSS,5,11,1,0,25.928249,-32.062183,9.806613
64,IBSS,5,12,1,0,25.91433,-32.408798,9.80662
65,IBSS,5,13,1,-0.000001,26.669516,-33.754032,9.80657
66,IBSS,5,14,1,0,21.96121,-33.084553,9.806577
67,IBSS,5,15,1,0,22.055813,-28.644407,9.80656
68,IBSS,5,16,1,0,26.458237,-25.100903,9.806621
69,IBSS,5,17,1,0,29.711199,-23.405029,9.806573
70,IBSS,5,18,1,0,35.669697,-25.46521,9.80654
71,IBSS,5,19,1,0,33.909924,-27.932323,9.806578
72,IBSS,5,20,1,0,38.95153,-26.593607,9.806551
73,IBSS,5,21,1,0,41.135727,-29.989914,9.806572
74,IBSS,5,22,1,0,38.38208,-31.606148,9.806586
75,IBSS,5,23,1,0,37.789852,-28.761507,9.806564
76,IBSS,5,24,1,0,37.577217,-26.96945,9.806584
77,IBSS,5,25,1,0,36.674866,-28.11204,9.806545
