BSSID,SSID,Building,Floor,Location_x,Location_y,Frequency,AccX,AccY,AccZ,ORIx,ORIy,ORIz,Level,GeoX,GeoY,GeoZ,Model,Time
44:6a:2e:09:f4:90,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:d2:d0,XJTLU,IBSS,4N-right,50,5,5805,9.5618,-0.6569,2.0758998,357.2436701168088,3.840872783052515,77.75097347340908,-85,-39.875,32.625,-10.125,EVA-AL10,1534320318284
a4:c6:4f:d5:df:30,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:d6:20,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c0:c0,XJTLU,IBSS,4N-right,50,5,2412,-0.49769998,9.6438,1.7082,357.7477141718936,-79.54680096093469,-16.243974233210988,-81,11.4375,-29.875,-34.9375,EVA-AL10,1534319203049
00:06:f4:b8:12:30,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c1:c1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:07:41:91,eduroam,IBSS,4N-right,50,5,5765,-9.600599,0.1094,1.9964999,1.2224845465652188,-0.6391904468709495,-78.25244596227141,-85,37.5,37.5,-8.625,EVA-AL10,1534321642843
44:6a:2e:09:f7:01,eduroam,IBSS,4N-right,50,5,2437,-0.1281,0.5927,9.7878,195.9609313076912,-3.4650175048670566,-0.7498283590069019,-89,8.625,-30.5625,-23.5625,EVA-AL10,1534317710743
00:06:f4:b8:0f:a1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
56:e4:bd:bd:02:45,VSspeed-BDBD0245,IBSS,4N-right,50,5,2447,9.6792,-0.398,1.5245999,26.324423325442904,2.3259793003825875,81.0487117480963,-85,-31.0,26.5625,7.8125,EVA-AL10,1534319449920
44:6a:2e:09:c7:b0,XJTLU,IBSS,4N-right,50,5,5785,-9.5661,-0.47849998,2.1046999,351.342546543033,2.7967876549661517,-77.59167980158604,-85,23.25,35.5625,0.25,EVA-AL10,1534321255331
44:6a:2e:09:c0:30,XJTLU,IBSS,4N-right,50,5,5745,-0.0072999997,0.2112,9.804299,173.87092109686705,-1.2340498710990486,-0.04266078459167776,-86,-3.3125,-31.75,-31.4375,EVA-AL10,1534318372581
44:6a:2e:09:d6:e0,XJTLU,IBSS,4N-right,50,5,2412,-9.51,-0.90309995,2.2168,354.70591738611535,5.283901363153095,-76.87854658053418,-88,32.0625,35.6875,-4.375,EVA-AL10,1534322016366
44:6a:2e:09:d2:c0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:f4:a1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
a4:c6:4f:d5:fa:c1,eduroam,IBSS,4N-right,50,5,2462,-2.7261,1.6797,9.2691,44.62170780996334,-9.862410670904891,-16.388938168155338,-91,-11.5625,17.375,-43.75,EVA-AL10,1534322087683
00:06:f4:b8:1a:70,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:d7:c1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:f2:71,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:07:33:f1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:f4:81,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
00:06:f4:b8:0f:90,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
24:4c:07:00:d9:80,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c3:a0,XJTLU,IBSS,4N-right,50,5,2462,-9.4021,-0.61399996,2.7189999,356.76853718526354,3.5896870267965952,-73.87062006251978,-91,40.125,32.0625,-9.875,EVA-AL10,1534321934048
44:6a:2e:07:42:c0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
00:06:f4:b8:1b:10,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:d2:81,eduroam,IBSS,4N-right,50,5,2412,-9.6027,0.1653,1.9826,24.71512147396118,-0.9658207651515375,-78.3344697040141,-82,26.875,26.125,-18.0625,EVA-AL10,1534320959053
44:6a:2e:07:40:01,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
